﻿"Site name","URL","Teams","Channel sites","IBMode","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing"
"Journe Brands Carbon Emissions - 2024","https://fbaint.sharepoint.com/sites/JourneBrandsCarbonEmissions-2024","True",,"Open","0.30",,"","Team site","7/1/2025 5:00:00 PM","9/15/2024 9:55:55 PM","Journe Brands Carbon Emissions - 2024 Owners","25600","0.00","True","0","0","0","16",,"On"
"Journe Global","https://fbaint.sharepoint.com/sites/FBAInternational","True","0","Open","0.03",,"","Team site","7/22/2025 5:00:00 PM","5/11/2021 2:22:16 PM","FBA International Owners","25600","0.00","True","1","0","0","14",,"On"
"Australia - SP","https://fbaint.sharepoint.com/sites/Australia-sp","False",,"Open","0.00",,"","Team site","5/19/2025 5:00:00 PM","4/2/2023 9:04:49 PM","Australia - SP Owners","25600","0.00","True","0","0","0","13",,"On"
"Journe- USA","https://fbaint.sharepoint.com/sites/FBA-USA","True","1","Open","0.01",,"","Team site","6/5/2025 5:00:00 PM","8/5/2021 5:41:48 PM","FBA - USA Owners","25600","0.00","True","0","0","0","12",,"On"
"Journe Australia","https://fbaint.sharepoint.com/sites/FBAAustralia","True","21","Open","0.00",,"","Team site","7/9/2025 5:00:00 PM","8/5/2021 5:36:06 PM","FBA Australia Owners","25600","0.00","True","2","8","3","11",,"On"
"Fadi & Robert","https://fbaint.sharepoint.com/sites/FadiRobert","True",,"Open","0.00",,"","Team site","6/16/2024 5:00:00 PM","8/9/2021 12:42:44 AM","Fadi & Robert Owners","25600","0.00","True","0","0","0","11",,"On"
"FBA Finance","https://fbaint.sharepoint.com/sites/FBAFinance","True",,"Open","0.00",,"","Team site","10/2/2024 5:00:00 PM","1/20/2022 5:07:45 PM","FBA Finance Owners","25600","0.00","True","0","0","0","11",,"On"
"FBA China","https://fbaint.sharepoint.com/sites/fbachina","True",,"Open","0.00",,"","Team site","1/20/2025 4:00:00 PM","5/24/2022 11:23:15 PM","FBA China Owners","25600","0.00","True","0","0","0","11",,"On"
"Sales Team Australia","https://fbaint.sharepoint.com/sites/SalesTeam","True",,"Open","0.00",,"","Team site","1/9/2025 4:00:00 PM","8/5/2021 6:33:47 PM","Sales Team Owners","25600","0.00","True","0","0","0","10",,"On"
"FBA USA Updates","https://fbaint.sharepoint.com/sites/FBAUSAUpdates","True","6","Open","0.00",,"","Team site","8/26/2024 5:00:00 PM","8/8/2021 6:07:43 PM","FBA USA Updates Owners","25600","0.00","True","0","0","0","10",,"On"
"Procurement / Supply Chain","https://fbaint.sharepoint.com/sites/PurchasingSupplyChain","True",,"Open","0.00",,"","Team site","11/7/2024 4:00:00 PM","9/28/2021 11:24:15 PM","Purchasing / Supply Chain Owners","25600","0.00","True","0","0","0","10",,"On"
"All Company","https://fbaint.sharepoint.com/sites/allcompany","False",,"Open","0.00",,"","Team site",,"8/2/2021 1:05:41 PM","All Company Owners","25600","0.00","True","0","0","0","9",,"On"
"Journe -  UK","https://fbaint.sharepoint.com/sites/FBAUK","True","2","Open","0.00",,"","Team site","12/12/2024 4:00:00 PM","8/5/2021 5:41:06 PM","FBA UK Owners","25600","0.00","True","0","0","0","9",,"On"
"Procurement + Marketing","https://fbaint.sharepoint.com/sites/ProcurementMarketing","True",,"Open","0.00",,"","Team site","11/7/2024 4:00:00 PM","11/9/2021 1:16:06 PM","Procurement + Marketing Owners","25600","0.00","True","0","0","0","9",,"On"
"Sales Team Global","https://fbaint.sharepoint.com/sites/SalesTeamGlobal","True",,"Open","0.00",,"","Team site","5/4/2025 5:00:00 PM","8/5/2021 6:35:23 PM","Sales Team Global Owners","25600","0.00","True","0","0","0","8",,"On"
"Kogeo to FDC1","https://fbaint.sharepoint.com/sites/KogeotoFDC1","True",,"Open","0.00",,"","Team site","10/24/2024 5:00:00 PM","6/28/2022 11:31:20 AM","Kogeo to FDC1 Owners","25600","0.00","True","0","0","0","8",,"On"
"Sourcing","https://fbaint.sharepoint.com/sites/sourcing","True",,"Open","0.00",,"","Team site","1/20/2025 4:00:00 PM","4/27/2023 7:00:04 PM","Sourcing Owners","25600","0.00","True","0","0","0","8",,"On"
"Walmart.com","https://fbaint.sharepoint.com/sites/Walmart.com","True",,"Open","0.00",,"","Team site","2/19/2025 4:00:00 PM","8/8/2024 9:57:31 AM","Walmart.com Owners","25600","0.00","True","0","0","0","8",,"On"
"Warehouse","https://fbaint.sharepoint.com/sites/Warehouse","True","0","Open","0.00",,"","Team site","10/5/2022 5:00:00 PM","8/5/2021 9:18:20 AM","Warehouse Owners","25600","0.00","True","0","0","0","6",,"On"
"FDC1 to Kogeo","https://fbaint.sharepoint.com/sites/FDC1toKogeo","True",,"Implicit","0.00",,"","Team site","6/27/2022 5:00:00 PM","6/7/2022 5:11:46 AM","FDC1 to Kogeo Owners","25600","0.00","True","0","0","0","6",,"On"
"Rancho Dominguez to FDC1","https://fbaint.sharepoint.com/sites/RanchoDomingueztoFDC1","True",,"Implicit","0.00",,"","Team site","6/25/2022 5:00:00 PM","6/7/2022 5:13:31 AM","Rancho Dominguez to FDC1 Owners","25600","0.00","True","0","0","0","6",,"On"
"Kogeo2 to FDC1","https://fbaint.sharepoint.com/sites/Kogeo2toFDC1","True",,"Open","0.00",,"","Team site","7/27/2022 5:00:00 PM","7/16/2022 5:20:30 AM","Kogeo2 to FDC1 Owners","25600","0.00","True","0","0","0","6",,"On"
"FDC1 to Kogeo2","https://fbaint.sharepoint.com/sites/FDC1toKogeo2","True",,"Open","0.00",,"","Team site","7/21/2022 5:00:00 PM","7/16/2022 5:23:07 AM","FDC1 to Kogeo2 Owners","25600","0.00","True","0","0","0","6",,"On"
"JourneChina","https://fbaint.sharepoint.com/sites/JourneChina","False",,"Open","0.00",,"","Team site","5/15/2025 5:00:00 PM","3/30/2023 9:00:34 PM","JourneChina Owners","25600","0.00","True","0","0","0","6",,"On"
"Marketing-SP","https://fbaint.sharepoint.com/sites/marketing-sp","False",,"Open","0.00",,"","Team site","5/4/2025 5:00:00 PM","4/2/2023 8:59:32 PM","Marketing-SP Owners","25600","0.00","True","0","0","0","6",,"On"
"Packaging & Artwork","https://fbaint.sharepoint.com/sites/PackagingArtwork","False",,"Open","0.00",,"","Team site","5/19/2025 5:00:00 PM","5/10/2023 5:01:04 PM","Packaging & Artwork Owners","25600","0.00","True","0","0","0","6",,"On"
"Frontier Brands Mexico Manufacturing","https://fbaint.sharepoint.com/sites/FrontierBrandsMexicoManufacturing","False",,"Open","0.00",,"","Team site","6/8/2025 5:00:00 PM","12/17/2024 5:29:53 PM","Debra Tippett","25600","0.00","True","0","0","0","6",,"On"
"Buyers-SP","https://fbaint.sharepoint.com/sites/Buyers-SP-Group","False",,"Open","0.00",,"","Team site","4/27/2023 5:00:00 PM","4/2/2023 8:35:34 PM","Buyers-SP-Group Owners","25600","0.00","True","0","0","0","4",,"On"
"WMS - ERP","https://fbaint.sharepoint.com/sites/WMS-ERP","True",,"Open","0.00",,"","Team site",,"3/3/2025 8:53:18 AM","WMS - ERP Owners","25600","0.00","True","0","0","0","3",,"On"
"Apps","https://fbaint.sharepoint.com/sites/appcatalog","False",,"Open","0.00","Global Administrator","","App Catalog Site","7/28/2025 5:00:00 PM","2/26/2023 10:22:18 PM","Global Administrator","25600","0.00","False","0","14","1","0",,"Off"
"NPD 2024","https://fbaint.sharepoint.com/sites/NPD2024","False",,"Open","0.00",,"","Team site",,"12/4/2023 4:32:11 PM","NPD 2024 Owners","25600","0.00","True","0","0","0","0",,"On"
